user_id,user_name,goods_id,goods_name,score,comment_time,comment_content,reply_count,useful_count,goods_color,goods_size,after_comment
14613523229,wzc1-_-1,41440694737,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i3 8G 256G固态 集显 标配,5,2020/9/6 22:29,很好的卖家，服务态度很好，包装也很不错，保护的很好，机子很轻巧，跟想象的差不多，很喜欢！开机速度很快，运行速度也很快，达到我的需求，家里也是一直用着戴尔的电脑，用了好几年，就想着换台更高配的使用，用起来贼溜！,1,2,黑 十代i3 8G 256G固态 集显 标配,,无
14550836928,j***l,41440694737,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i3 8G 256G固态 集显 标配,5,2020/8/20 11:12,屏幕很大，外观设计很漂亮，声音也很清晰。配置不高但非常适合家用，自带鼠标和键盘也很方便。摄像头是隐藏的，用起来很方便，而且非常轻，到处挪也很方便。配置了正版的系统。总之这次购物非常的满意。物流也比预计的要快一些。,1,4,黑 十代i3 8G 256G固态 集显 标配,,无
14526928403,157*****129挚馨,41440694737,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i3 8G 256G固态 集显 标配,5,2020/8/13 18:51,机器是正品行货，完全没问题，店家特别热情，介绍详细，安装的软件很好用，省去了不少时间。机器的配置很适合办公用，运行的时候很安静，满意,1,5,黑 十代i3 8G 256G固态 集显 标配,,无
14608442631,jd_156344kgc,41440694737,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i3 8G 256G固态 集显 标配,5,2020/9/5 15:53,精挑细选很久，最后决定买这一款，到货后果然没有让我失望，外观就非常的高大上，电脑流畅性也很好，用来玩游戏特别得劲，太喜欢了！,1,0,黑 十代i3 8G 256G固态 集显 标配,,无
14636407348,x***5,41440694737,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i3 8G 256G固态 集显 标配,5,2020/9/13 8:36,很好，非常不错，值得购买！目前使用没有鹏哥问题！,1,0,黑 十代i3 8G 256G固态 集显 标配,,无
14609169850,云游yunyan,41440694737,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i3 8G 256G固态 集显 标配,5,2020/9/5 19:21,外观漂亮，新颖，时尚。耐看。性能强劲，平时学习娱乐搓搓由于。屏幕显示效果好，色彩缤纷亮度好，系统自带，方便简洁，自己不用再安装了，少操心了，正版无误。运行速度快，开机速度也很快，希望能用它个好长时间，性价比高。,1,1,黑 十代i3 8G 256G固态 集显 标配,,无
14634324400,柒***吧,41440694737,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i3 8G 256G固态 集显 标配,5,2020/9/12 15:52,此用户未填写评价内容,1,0,黑 十代i3 8G 256G固态 集显 标配,,运行流畅，画质清晰。外观漂亮配置也很满意。用着感觉还不错。
14485568066,j***g,41440694737,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i3 8G 256G固态 集显 标配,5,2020/8/2 11:28,外形外观：好 性能配置：高 运行速度：快 屏幕效果：清 产品包装：好,1,0,白 十代i3 8G 512G固态 集显 定制,白 十代i3 8G 256G固态 集显 标配,无
14445023129,jdhrh,41440694737,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i3 8G 256G固态 集显 标配,5,2020/7/22 10:02,速度比较快，棒棒的,1,0,鼠标垫（赠品是心意，切勿中差评，以实物为准）,单拍不发货,无
14445009186,jdhrh,41440694737,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i3 8G 256G固态 集显 标配,5,2020/7/22 10:02,速度比较快，棒棒的,1,0,网线3m（赠品是心意，切勿中差评，以实物为准）,单拍不发货,无
14587739973,jkllkj,70804564817,戴尔（DELL）灵越3000家用办公一体机电脑全套财务学习网课台式机21.5/23.8英寸微边框主机 A9-9425/8G/256G固态/白色/定制,5,2020/8/30 20:35,办公室一下买了两台，好用，高端大气,1,3,A9-9425/8G/256G固态/白色/定制,,无
14536495603,ZHM868,70804564817,戴尔（DELL）灵越3000家用办公一体机电脑全套财务学习网课台式机21.5/23.8英寸微边框主机 A9-9425/8G/256G固态/白色/定制,5,2020/8/16 13:41,非常好用的一款电脑，今天收到了u盘和耳机，我自已配了一前用的无线键盘鼠标。非常满意！,1,3,A9-9425/8G/512G固态/白色/定制,,无
14602767748,fiona520998,70804564817,戴尔（DELL）灵越3000家用办公一体机电脑全套财务学习网课台式机21.5/23.8英寸微边框主机 A9-9425/8G/256G固态/白色/定制,5,2020/9/3 22:45,屏幕效果：清晰度高 整体评价：满意 接口设计：满意 外观款式：满意 功能设计：超值 运行速度：快,1,1,A9-9425/8G/256G固态/白色/定制,,无
14606012197,rjsZwvFygIfz,70804564817,戴尔（DELL）灵越3000家用办公一体机电脑全套财务学习网课台式机21.5/23.8英寸微边框主机 A9-9425/8G/256G固态/白色/定制,5,2020/9/4 21:20,发货真的很快，电脑颜值很高，屏幕色彩鲜艳，运动很快呢,1,0,A9-9425/8G/256G固态/白色/定制,,无
14537800920,j***c,70804564817,戴尔（DELL）灵越3000家用办公一体机电脑全套财务学习网课台式机21.5/23.8英寸微边框主机 A9-9425/8G/256G固态/白色/定制,5,2020/8/16 19:44,外形外观：白色的特别好看 性能配置：挺强劲，配置用来办公刚刚好 运行速度：word office ppt等完全不卡，开了好几个 屏幕效果：高清屏，看视频特别爽几个人坐在一起看电影 产品包装：包装严实快递很快,1,1,A9-9425/8G/256G固态/白色/定制,,电脑非常好，第二次采购了，高级客服服务很不错！
14602601596,jd_5a4c0e2eb1fed,70804564817,戴尔（DELL）灵越3000家用办公一体机电脑全套财务学习网课台式机21.5/23.8英寸微边框主机 A9-9425/8G/256G固态/白色/定制,5,2020/9/3 21:54,用了两周，在家办公很方便！不错好评.发货很快。安装也不难,1,0,A9-9425/8G/256G固态/白色/定制,,无
14634101770,长大八百标兵,70804564817,戴尔（DELL）灵越3000家用办公一体机电脑全套财务学习网课台式机21.5/23.8英寸微边框主机 A9-9425/8G/256G固态/白色/定制,5,2020/9/12 14:50,品质很好，使用方便，好评。。。,1,0,A9-9425/8G/256G固态/白色/定制,,无
14383924906,jd_139225kjdk,70804564817,戴尔（DELL）灵越3000家用办公一体机电脑全套财务学习网课台式机21.5/23.8英寸微边框主机 A9-9425/8G/256G固态/白色/定制,5,2020/7/5 21:51,质量很好，用起来棒棒的。戴尔东西就是不错。品牌有保证,0,1,热卖,,无
14374332851,wy笨笨蛋蛋,70804564817,戴尔（DELL）灵越3000家用办公一体机电脑全套财务学习网课台式机21.5/23.8英寸微边框主机 A9-9425/8G/256G固态/白色/定制,5,2020/7/3 12:44,东西很好，质量棒棒哒！戴尔值得信赖，赞???,0,0,热卖,,无
14427069128,瞬點,70804564817,戴尔（DELL）灵越3000家用办公一体机电脑全套财务学习网课台式机21.5/23.8英寸微边框主机 A9-9425/8G/256G固态/白色/定制,5,2020/7/17 13:19,发货很快，大品牌好质量，推荐购买！,0,0,A9-9425丨4G丨256G固态丨集显丨定制,,无
