user_id,user_name,goods_id,goods_name,score,comment_time,comment_content,reply_count,useful_count,goods_color,goods_size,after_comment
14613523229,wzc1-_-1,72047819632,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,5,2020-09-06 22:29:24,很好的卖家，服务态度很好，包装也很不错，保护的很好，机子很轻巧，跟想象的差不多，很喜欢！开机速度很快，运行速度也很快，达到我的需求，家里也是一直用着戴尔的电脑，用了好几年，就想着换台更高配的使用，用起来贼溜！,1,2,黑 十代i3 8G 256G固态 集显 标配,,无
14550836928,j***l,72047819632,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,5,2020-08-20 11:12:10,屏幕很大，外观设计很漂亮，声音也很清晰。配置不高但非常适合家用，自带鼠标和键盘也很方便。摄像头是隐藏的，用起来很方便，而且非常轻，到处挪也很方便。配置了正版的系统。总之这次购物非常的满意。物流也比预计的要快一些。,1,4,黑 十代i3 8G 256G固态 集显 标配,,无
14526928403,157*****129挚馨,72047819632,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,5,2020-08-13 18:51:51,机器是正品行货，完全没问题，店家特别热情，介绍详细，安装的软件很好用，省去了不少时间。机器的配置很适合办公用，运行的时候很安静，满意,1,5,黑 十代i3 8G 256G固态 集显 标配,,无
14608442631,jd_156344kgc,72047819632,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,5,2020-09-05 15:53:39,精挑细选很久，最后决定买这一款，到货后果然没有让我失望，外观就非常的高大上，电脑流畅性也很好，用来玩游戏特别得劲，太喜欢了！,1,0,黑 十代i3 8G 256G固态 集显 标配,,无
14636407348,x***5,72047819632,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,5,2020-09-13 08:36:53,很好，非常不错，值得购买！目前使用没有鹏哥问题！,1,0,黑 十代i3 8G 256G固态 集显 标配,,无
14609169850,云游yunyan,72047819632,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,5,2020-09-05 19:21:32,外观漂亮，新颖，时尚。耐看。性能强劲，平时学习娱乐搓搓由于。屏幕显示效果好，色彩缤纷亮度好，系统自带，方便简洁，自己不用再安装了，少操心了，正版无误。运行速度快，开机速度也很快，希望能用它个好长时间，性价比高。,1,1,黑 十代i3 8G 256G固态 集显 标配,,无
14634324400,柒***吧,72047819632,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,5,2020-09-12 15:52:31,此用户未填写评价内容,1,0,黑 十代i3 8G 256G固态 集显 标配,,运行流畅，画质清晰。外观漂亮配置也很满意。用着感觉还不错。
14485568066,j***g,72047819632,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,5,2020-08-02 11:28:48,外形外观：好 性能配置：高 运行速度：快 屏幕效果：清 产品包装：好,1,0,白 十代i3 8G 512G固态 集显 定制,白 十代i3 8G 256G固态 集显 标配,无
14445023129,jdhrh,72047819632,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,5,2020-07-22 10:02:29,速度比较快，棒棒的,1,0,鼠标垫（赠品是心意，切勿中差评，以实物为准）,单拍不发货,无
14445009186,jdhrh,72047819632,Dell/戴尔灵越AIO 5490一体机电脑 23.8英寸微边框台式机办公家用商务游戏网课大屏窄边 黑 十代i5 8G 256G+1T 独显 定制,5,2020-07-22 10:02:29,速度比较快，棒棒的,1,0,网线3m（赠品是心意，切勿中差评，以实物为准）,单拍不发货,无
14156266225,chenhui810608,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2020-05-15 20:09:16,外观大气时尚，各方面性能都不错，反应灵敏，运行流畅，客服态度也很好。,0,0,单主机（含键盘鼠标）,i5-9400/8G/1T+256G固态/定制,无
13847534229,150*****818XQ,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2020-02-27 16:41:50,机器速度很快。性价比很高。办公家用 学生上网课 首选。京东快递很给力 两天到货。,0,0,单主机（含键盘鼠标）,i5-9400/8G/128G固态/定制,无
14448624825,L***C,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2020-07-23 09:38:56,开箱通电验货一切OK，开机速度那个快，运行速度也非常高，配置与描述一致。一次很满意的购物，推荐采购。,0,0,主机+23.8英寸显示器全套,8G/1T+128G/定制,无
13858138462,s***9,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2020-03-01 10:43:26,很好，机箱外观简洁大方，开机速度快，系统运行很快，静音，散热好，办公用足够了,0,0,单主机（含键盘鼠标）,i5-9400/8G/128G固态/定制,公司办公电脑，都换成这款了，性价比高
13971460175,1号ghost,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2020-03-29 14:52:11,机箱外观：外观大方漂亮，很有线条感，摸起来很舒服 性能配置：配置高，玩大型游戏也不卡，内存绝对够用，朋友是个电脑迷，都说用起来很好用 散热性能：散热快，机体摸起来没有发热的感觉，以前的机器用一两个小时就热的不行，这款一点感觉都没有 售后服务：售后服务很好，很耐心的介绍了整个使用注意事项,0,0,单主机（含键盘鼠标）,i5-9400/8G/1T+128G/2G/定制,无
14529935865,j***i,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2020-08-14 16:22:01,机箱外观：小巧大方，切方便移动。 散热性能：风扇安静，办公时基本听不到噪音。 售后服务：客服给力，官方三年质保，很放心的。因为是公司采购，这点很重要。,0,0,主机+23.8英寸显示器全套,16G/512G+2T/GTX1660定制,无
13133880758,安***娜,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2019-08-19 16:04:02,宝贝很快收到，包装严实，没破损，大相箱，外观耐看，散热稳定，有不懂碰到问题，请教商家指导，商家服务态度很好，耐心问答，值得我放心购买，质量大品牌，性价比高，物有所值，京东物流快，非常满意，好评i,0,3,单主机（含键盘鼠标）,9代i5/8G/1T+128G 2G/定制,无
14242030368,魏溶慧,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2020-06-05 16:58:30,机箱外观：精致 性能配置：高 散热性能：好 售后服务：非常好，指导帮助，一一解答。,0,0,主机+21.5英寸显示器套装,16G/512G固态+1T/定制,无
13188441120,f***f,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2019-09-04 15:18:44,此商家不错，东西不错，一次点亮，内存要求单根也马上换了，系统上的问题也解答了，迁移系统也解答，客服也很不错，有问必答，下次要买还是来这家！希望后期用的久，多谢了！,0,1,单主机（含键盘鼠标）,9代i5-9400/8G/1T/定制,无
13398646288,宋***8,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2019-11-02 17:05:12,性能配置：性能很好 配置办公用足够 机箱外观：机箱外观很漂亮  散热性能：散热也很好 很静音,0,0,单主机（含键盘鼠标）,9代i5-9400/8G/1T/定制,无
13888155406,j***o,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2020-03-08 11:47:34,一直都很信赖这个牌子，果然不错，速度快没有卡机现象，外观也好看，又一次很满意的一次购物，物流也很快,0,0,单主机（含键盘鼠标）,i5-9400/8G/1T+128G/定制,无
11589709566,r***9,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2018-06-13 21:41:13,一直给客户配的，小机箱，不占地方，配置办公用绰绰有余，很好用。碰上活动，很划算，值得回购,0,0,主机+21.5英寸显示器 1080P,I3-7100 4G 1T /标配,无
13188771681,宋***8,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2019-09-04 16:53:43,非常好用的一款电脑，公司来新人配电脑都在他家采购，电脑运行很流畅，客服态度热情，收货各方面都很有保障。,1,0,单主机（含键盘鼠标）,8代i5 /8G/1T+256G/2G/定制,无
11978240157,j***k,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2018-10-06 09:58:42,不错不错，物流也挺快的，电脑安装也很方便，让客服安装好了系统 差上线就能用了，五星好评,0,0,主机+21.5英寸显示器 1080P,I3-7100 8G 1T /定制,无
11847298614,a***g,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2018-08-27 11:06:56,小巧精致 功能强大，看着很大气，速度很快，办公无压力,0,1,单主机,I3-7100 8G 1T+128G固态 /定制,无
13074042337,g***焱,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2019-08-01 16:33:56,款式小巧，方便，财务办公，作为服务器实用，配置很好。还送了不少礼品，?,0,1,单主机（含键盘鼠标）,8代i5-8400/8G/1T+128G/定制,无
13910523630,笨***1,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2020-03-13 15:41:47,运转基本没声音，玩各种游戏都没问题，终于摆脱之前的破电脑，服务非常到位，售后情况随时跟踪，值得推荐的商家,0,1,单主机（含键盘鼠标）,i5-9400/8G/1T+128G/2G/定制,无
13884478119,wh520261,38479525094,戴尔 DELL 成就3671/vos3881 办公电脑台式 设计师商用台式电脑lol吃鸡财务定制主机 单主机（含键盘鼠标） 9代i5/8G/128G+1T,5,2020-03-07 14:19:55,安装起来挺简单的，开机速度很快，运行速度也非常快，不错的一次购物体验。,0,0,单主机（含键盘鼠标）,i5-9400/8G/128G固态/定制,无
